system,real
chitetsu_tram_4976,9002
chitetsu_tram_4980,0608
chitetsu_tram_4981,9001
chitetsu_tram_4982,9003
chitetsu_tram_4983,7012
chitetsu_tram_4984,7015
chitetsu_tram_4985,7016
chitetsu_tram_4986,7017
chitetsu_tram_4987,7018
chitetsu_tram_4988,7019
chitetsu_tram_4989,7020
chitetsu_tram_4990,7021
chitetsu_tram_4991,7022
chitetsu_tram_4992,7023
chitetsu_tram_4993,8001
chitetsu_tram_4994,8002
chitetsu_tram_4995,8003
chitetsu_tram_4996,8004
chitetsu_tram_5001,8005
chitetsu_tram_5002,T101
chitetsu_tram_5004,T103
chitetsu_tram_5005,T104
chitetsu_tram_5006,0601
chitetsu_tram_5007,0602
chitetsu_tram_5008,0603
chitetsu_tram_5009,0604
chitetsu_tram_5010,0605
chitetsu_tram_5011,0606
chitetsu_tram_5012,0607
